date,theta1,theta2,OT
285,1.413177765,1.259513201,1.259513201
286,1.44542417,1.253033056,1.253033056
287,1.476479048,1.24698939,1.24698939
288,1.506326807,1.24141056,1.24141056
289,1.534962352,1.236306653,1.236306653
290,1.562389158,1.231672618,1.231672618
291,1.588617408,1.227491325,1.227491325
292,1.613662312,1.223736358,1.223736358
293,1.637542658,1.220374453,1.220374453
294,1.660279619,1.217367552,1.217367552
295,1.681895792,1.214674484,1.214674484
296,1.702414449,1.212252313,1.212252313
297,1.721858961,1.210057397,1.210057397
298,1.740252373,1.208046207,1.208046207
299,1.757617092,1.206175943,1.206175943
300,1.773974662,1.20440501,1.20440501
301,1.789345606,1.202693352,1.202693352
302,1.803749326,1.201002704,1.201002704
303,1.817204032,1.199296764,1.199296764
304,1.829726704,1.197541314,1.197541314
305,1.841333071,1.195704294,1.195704294
306,1.852037603,1.193755847,1.193755847
307,1.861853515,1.191668345,1.191668345
308,1.870792774,1.189416391,1.189416391
309,1.878866112,1.18697682,1.18697682
310,1.886083039,1.184328681,1.184328681
311,1.892451861,1.181453226,1.181453226
312,1.897979695,1.178333886,1.178333886
313,1.902672483,1.174956258,1.174956258
314,1.906535015,1.171308086,1.171308086
315,1.90957094,1.167379241,1.167379241
316,1.911782783,1.163161715,1.163161715
317,1.913171963,1.158649606,1.158649606
318,1.913738808,1.153839118,1.153839118
319,1.91348257,1.148728555,1.148728555
320,1.912401441,1.143318328,1.143318328
321,1.910492573,1.137610962,1.137610962
322,1.907752088,1.131611107,1.131611107
323,1.904175099,1.12532556,1.12532556
324,1.899755721,1.118763285,1.118763285
325,1.894487093,1.11193544,1.11193544
326,1.888361389,1.104855412,1.104855412
327,1.881369833,1.09753885,1.09753885
328,1.873502714,1.090003708,1.090003708
329,1.864749395,1.08227029,1.08227029
330,1.855098328,1.0743613,1.0743613
331,1.844537058,1.066301887,1.066301887
332,1.833052228,1.058119709,1.058119709
333,1.820629583,1.04984498,1.04984498
334,1.807253963,1.041510531,1.041510531
335,1.792909299,1.033151862,1.033151862
336,1.777578596,1.024807199,1.024807199
337,1.761243918,1.016517539,1.016517539
338,1.743886361,1.008326693,1.008326693
339,1.725486026,1.000281317,1.000281317
340,1.706021978,0.992430923,0.992430923
341,1.685472217,0.984827875,0.984827875
342,1.663813639,0.977527347,0.977527347
343,1.641022001,0.970587245,0.970587245
344,1.617071911,0.964068066,0.964068066
345,1.591936831,0.958032679,0.958032679
346,1.565589127,0.952546006,0.952546006
347,1.538000184,0.947674547,0.947674547
348,1.509140611,0.943485726,0.943485726
349,1.478980585,0.940046965,0.940046965
350,1.447490393,0.937424425,0.937424425
351,1.414641231,0.935681303,0.935681303
352,1.380406359,0.934875549,0.934875549
353,1.344762709,0.935056883,0.935056883
354,1.307693048,0.936262941,0.936262941
355,1.269188791,0.938514471,0.938514471
356,1.229253504,0.941809514,0.941809514
357,1.187907017,0.946116735,0.946116735
358,1.145189904,0.951368304,0.951368304
359,1.101167825,0.95745313,0.95745313
360,1.055934922,0.964211659,0.964211659
361,1.009615289,0.971433765,0.971433765
362,0.962361522,0.978861216,0.978861216
363,0.914349784,0.986195599,0.986195599
364,0.865771619,0.993111388,0.993111388
365,0.816823662,0.999272473,0.999272473
366,0.767697119,1.004349375,1.004349375
367,0.718568903,1.008034297,1.008034297
368,0.669595792,1.010051921,1.010051921
369,0.620912001,1.010165206,1.010165206
370,0.572629777,1.008176684,1.008176684
371,0.524842121,1.003926442,1.003926442
372,0.47762666,0.997288174,0.997288174
373,0.431049865,0.98816447,0.98816447
374,0.385171056,0.976482129,0.976482129
375,0.340045894,0.962187955,0.962187955
376,0.29572923,0.945245215,0.945245215
377,0.252277318,0.925630759,0.925630759
378,0.20974942,0.90333273,0.90333273
379,0.168208894,0.878348734,0.878348734
380,0.127723832,0.850684351,0.850684351
381,0.088367318,0.820351875,0.820351875
382,0.050217371,0.787369179,0.787369179
