date,X,Y,Z,OT
138,2.14E+00,3.81E+00,1.11E+01,1.11E+01
139,2.48E+00,4.46E+00,1.07E+01,1.07E+01
140,2.87E+00,5.23E+00,1.04E+01,1.04E+01
141,3.34E+00,6.14E+00,1.01E+01,1.01E+01
142,3.90E+00,7.21E+00,9.97E+00,9.97E+00
143,4.56E+00,8.47E+00,1.00E+01,1.00E+01
144,5.35E+00,9.95E+00,1.02E+01,1.02E+01
145,6.27E+00,1.16E+01,1.08E+01,1.08E+01
146,7.34E+00,1.36E+01,1.16E+01,1.16E+01
147,8.59E+00,1.57E+01,1.30E+01,1.30E+01
148,1.00E+01,1.80E+01,1.50E+01,1.50E+01
149,1.16E+01,2.02E+01,1.78E+01,1.78E+01
150,1.33E+01,2.22E+01,2.16E+01,2.16E+01
151,1.51E+01,2.34E+01,2.63E+01,2.63E+01
152,1.68E+01,2.35E+01,3.20E+01,3.20E+01
153,1.81E+01,2.17E+01,3.81E+01,3.81E+01
154,1.88E+01,1.76E+01,4.40E+01,4.40E+01
155,1.86E+01,1.12E+01,4.82E+01,4.82E+01
156,1.71E+01,3.47E+00,4.98E+01,4.98E+01
157,1.44E+01,-4.05E+00,4.83E+01,4.83E+01
158,1.07E+01,-9.82E+00,4.46E+01,4.46E+01
159,6.58E+00,-1.32E+01,4.01E+01,4.01E+01
160,2.63E+00,-1.45E+01,3.62E+01,3.62E+01
161,-7.93E-01,-1.46E+01,3.36E+01,3.36E+01
162,-3.56E+00,-1.43E+01,3.20E+01,3.20E+01
163,-5.70E+00,-1.37E+01,3.13E+01,3.13E+01
164,-7.30E+00,-1.30E+01,3.12E+01,3.12E+01
165,-8.45E+00,-1.23E+01,3.14E+01,3.14E+01
166,-9.22E+00,-1.15E+01,3.18E+01,3.18E+01
167,-9.68E+00,-1.05E+01,3.23E+01,3.23E+01
168,-9.85E+00,-9.51E+00,3.26E+01,3.26E+01
169,-9.78E+00,-8.42E+00,3.27E+01,3.27E+01
170,-9.51E+00,-7.33E+00,3.26E+01,3.26E+01
171,-9.07E+00,-6.30E+00,3.23E+01,3.23E+01
172,-8.52E+00,-5.40E+00,3.17E+01,3.17E+01
173,-7.90E+00,-4.66E+00,3.09E+01,3.09E+01
174,-7.25E+00,-4.10E+00,3.00E+01,3.00E+01
175,-6.62E+00,-3.73E+00,2.90E+01,2.90E+01
176,-6.04E+00,-3.52E+00,2.80E+01,2.80E+01
177,-5.54E+00,-3.46E+00,2.69E+01,2.69E+01
178,-5.12E+00,-3.51E+00,2.58E+01,2.58E+01
179,-4.80E+00,-3.66E+00,2.48E+01,2.48E+01
